;
; Splendid_Temple
;
;          x,  y,                   type, elev,    pos,    ent,
/*  0*/ { -3, -4,        SB_TEMPLE_STEPS,    0,     NW,      1,},
/*  1*/ { -2, -4,        SB_TEMPLE_STEPS,    0,  NORTH,      1,},
/*  2*/ { -1, -4,        SB_TEMPLE_STEPS,    0,  NORTH,      1,},
/*  3*/ {  0, -4,        SB_TEMPLE_STEPS,    0,  NORTH,      1,},
/*  4*/ {  1, -4,        SB_TEMPLE_STEPS,    0,  NORTH,      1,},
/*  5*/ {  2, -4,        SB_TEMPLE_STEPS,    0,  NORTH,      1,},
/*  6*/ {  3, -4,        SB_TEMPLE_STEPS,    0,  NORTH,      1,},
/*  7*/ {  4, -4,        SB_TEMPLE_STEPS,    0,     NE,      1,},
/*  8*/ { -3, -3,        SB_TEMPLE_STEPS,    0,   WEST,      1,},
/*  9*/ {  4, -3,        SB_TEMPLE_STEPS,    0,   EAST,      1,},
/* 10*/ { -3, -2,        SB_TEMPLE_STEPS,    0,   WEST,      1,},
/* 11*/ {  4, -2,        SB_TEMPLE_STEPS,    0,   EAST,      4,},
/* 12*/ { -3, -1,        SB_TEMPLE_STEPS,    0,   WEST,      1,},
/* 13*/ {  4, -1,        SB_TEMPLE_STEPS,    0,   EAST,      3,},
/* 14*/ { -3,  0,        SB_TEMPLE_STEPS,    0,   WEST,      1,},
/* 15*/ {  4,  0,        SB_TEMPLE_STEPS,    0,   EAST,      2,},
/* 16*/ { -3,  1,        SB_TEMPLE_STEPS,    0,   WEST,      1,},
/* 17*/ {  4,  1,        SB_TEMPLE_STEPS,    0,   EAST,      1,},
/* 18*/ { -3,  2,        SB_TEMPLE_STEPS,    0,   WEST,      1,},
/* 19*/ {  4,  2,        SB_TEMPLE_STEPS,    0,   EAST,      1,},
/* 20*/ { -3,  3,        SB_TEMPLE_STEPS,    0,     SW,      1,},
/* 21*/ { -2,  3,        SB_TEMPLE_STEPS,    0,  SOUTH,      1,},
/* 22*/ { -1,  3,        SB_TEMPLE_STEPS,    0,  SOUTH,      1,},
/* 23*/ {  0,  3,        SB_TEMPLE_STEPS,    0,  SOUTH,      1,},
/* 24*/ {  1,  3,        SB_TEMPLE_STEPS,    0,  SOUTH,      1,},
/* 25*/ {  2,  3,        SB_TEMPLE_STEPS,    0,  SOUTH,      1,},
/* 26*/ {  3,  3,        SB_TEMPLE_STEPS,    0,  SOUTH,      1,},
/* 27*/ {  4,  3,        SB_TEMPLE_STEPS,    0,     SE,      1,},
/* 28*/ { -2, -3,      SB_TEMPLE_CENTERA,    0,     NW,      0,},
/* 29*/ { -2, -3,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 30*/ { -1, -3,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 31*/ {  0, -3,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 32*/ {  1, -3,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 33*/ {  2, -3,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 34*/ {  3, -3,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 35*/ { -2, -2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 36*/ { -1, -2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 37*/ {  0, -2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 38*/ {  1, -2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 39*/ {  2, -2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 40*/ {  3, -2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 41*/ { -2, -1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 42*/ { -1, -1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 43*/ {  0, -1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 44*/ {  1, -1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 45*/ {  2, -1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 46*/ {  3, -1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 47*/ { -2,  0,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 48*/ { -1,  0,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 49*/ {  0,  0,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 50*/ {  1,  0,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 51*/ {  2,  0,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 52*/ {  3,  0,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 53*/ { -2,  1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 54*/ { -1,  1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 55*/ {  0,  1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 56*/ {  1,  1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 57*/ {  2,  1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 58*/ {  3,  1,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 59*/ { -2,  2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 60*/ { -1,  2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 61*/ {  0,  2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 62*/ {  1,  2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 63*/ {  2,  2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},
/* 64*/ {  3,  2,        SB_TEMPLE_STEPS,    0, CENTER,      0,},

;
;sub-bldg-list-type    0 = single sub-buildings
; (sub typ)            1 = joined sub-buildings
;
;            beg end
;mon sub lst sub sub beg end
; ph typ num bld bld  ph  ph
<  0,  0,  0,  0, 27,  0,  1,>
<  0,  0,  0, 29, 64,  0,  1,>

<  1,  0,  0,  0, 27,  1,  3,>
<  1,  0,  0, 29, 64,  1,  3,>

<  2,  0,  0,  0, 27,  3,  4,>
<  2,  0,  0, 29, 64,  3,  4,>

<  3,  0,  0,  0, 27,  4,  6,>
<  3,  0,  0, 29, 64,  4,  6,>

<  4,  0,  0,  0, 27,  6,  7,>
<  4,  0,  0, 29, 64,  6,  7,>
<  4,  1,  0, 28, 28,  0,  1,>

<  5,  1,  0, 28, 28,  1,  2,>
<  6,  1,  0, 28, 28,  2,  3,>
<  7,  1,  0, 28, 28,  3,  4,>
<  8,  1,  0, 28, 28,  4,  5,>
<  9,  1,  0, 28, 28,  5,  6,>
< 10,  1,  0, 28, 28,  6,  7,>
< 11,  1,  0, 28, 28,  7,  8,>
