category,slot,buildingId,imageId,frame,screenRect,evidenceType,source,comment
,,2,1491,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),common housing
,,11,1494,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),elite housing
,,31,1512,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),fishing wharf
,,33,1506,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),hunting camp
,,35,1515,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),clay pit
,,36,1518,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),quarry / stoneworks
,,43,1521,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),kiln
,,39,1524,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),bronze smelter
,,40,1524,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),iron smelter shares the furnace button
,,38,1527,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),lumber mill
,,54,1528,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),warehouse
,,66,1531,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),food shop
,,59,1546,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),common market
,,60,1546,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),grand market shares the market pavilion family
,,72,1551,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),well
,,207,1554,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),herbalist
,,208,1557,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),acupuncture clinic
,,124,1560,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),inspector tower
,,127,1563,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),watchtower
,,209,1566,0,,inferred,Sources/EmperorCore/InterfaceSpriteCatalog.swift OriginalConstructionButtonSpriteCatalog (sheet-order / frame look; not exe-linked),administrative city
